date,merchant,category,amount
2026-04-04,ANYVAN LTD,CREDIT,70.0
2026-04-04,ANYVAN LTD,CREDIT,59.17
2026-04-04,LNK ATM LONDON,ATM,20.0
2026-04-04,LAPTOP DIRECT LTD.,PURCHASE,5.0
2026-04-04,ANIMAL FRIENDS LTD,DIRECT_DEBIT,3.07
2026-04-04,LNK ATM WITHDRAWAL,ATM,100.0
2026-04-04,MR JOHN SMITH,TRANSFER,100.0
2026-04-04,INTUIT LIMITED,DIRECT_DEBIT,3.59
2026-04-04,PAYPAL EBAY,PURCHASE,25.0
2026-04-04,RENT,BILL_PAYMENT,130.0
2026-04-03,MS JANE DOE,TRANSFER,0.89
2026-04-03,SAVE THE CHANGE,BILL_PAYMENT,0.41
2026-04-03,MS JANE DOE,TRANSFER,130.0
2026-04-03,MR JOHN SMITH,TRANSFER,7.0
2026-04-03,AA MEMBERSHIP,DIRECT_DEBIT,23.11
2026-04-03,VIRGIN GAMES,PURCHASE,35.49
2026-04-03,SAVE THE CHANGE,BILL_PAYMENT,0.01
2026-04-03,GOOGLE PLAY STORE,PURCHASE,2.99
2026-04-03,TESCO EXTRA,PURCHASE,30.0
2026-04-03,RETURNED DIRECT DEBIT,CREDIT,40.0
2026-04-03,LNK ATM LONDON,ATM,40.0
2026-04-03,WWW.ASDA.COM,PURCHASE,5.0
2026-04-02,MR JOHN SMITH,TRANSFER,30.0
2026-04-02,LNK ATM LONDON,ATM,30.0
2026-04-02,MR JOHN SMITH,TRANSFER,10.0
2026-04-02,SAVE THE CHANGE,BILL_PAYMENT,0.59
2026-04-01,TALKTALK TELECOM,PURCHASE,46.82
2026-04-01,ACCOUNT OVERDRAFT FEE,BILL_PAYMENT,0.01
2026-04-01,MR JOHN SMITH,TRANSFER,227.0
2026-04-01,TESCO,PURCHASE,39.99
2026-04-01,REVOLUT,PURCHASE,0.01
2026-04-01,CENTRA,PURCHASE,0.01
2026-04-01,DUNNES STORES,PURCHASE,0.01
2026-04-01,SPAR,PURCHASE,0.01
2026-04-01,SPAR,PURCHASE,0.01
2026-04-01,SUPERVALUE,PURCHASE,0.01
2026-04-01,LIDL,PURCHASE,0.01
2026-04-01,APLLEGREEN,PURCHASE,0.01
2026-04-01,MCDONALD'S,PURCHASE,0.01
2026-04-01,HARVEY NORMAN,PURCHASE,0.01
2026-04-01,ULSTER BANK,PURCHASE,0.01
2026-04-01,CIRCLE K,PURCHASE,0.01
2026-04-01,BET365,PURCHASE,0.01
2026-04-01,ACCOUNT OVERDRAFT FEE,BILL_PAYMENT,0.01
2026-04-01,Sainsbury's,PURCHASE,23.99
2026-04-01,MR JOHN SMITH,TRANSFER,20.91
2026-04-01,NUDE FINANCE,PURCHASE,10.0
2026-04-01,E.ON NEXT,PURCHASE,10.0
2026-04-01,L&G INSURANCE,PURCHASE,10.0
2026-04-01,HALIFAX,PURCHASE,10.0
2026-04-01,OVO ENERGY,PURCHASE,10.0
2026-03-28,TSB CLEVELEYS,CASH,420.0
2026-03-28,AMAZON INT'L,PURCHASE,36.59
2026-03-28,RETURNED DD,CREDIT,40.0
2026-03-28,MR JOHN SMITH,TRANSFER,32.72
2026-03-28,WORKING TAX CREDIT,CREDIT,22.42
2026-03-27,MS JANE DOE,TRANSFER,7.93
2026-03-27,CIRCLE UK TRADING REFUND,CREDIT,50.59
2026-03-27,MS JANE DOE,TRANSFER,15.86
2026-03-27,DVLA LICENSE,DIRECT_DEBIT,20.56
2026-03-27,E&L INSURANCE,DIRECT_DEBIT,2.99
2026-03-27,TESCO ONLINE SHOPPING,DIRECT_DEBIT,23.62
2026-03-27,PAYPAL EBAY,PURCHASE,7.56
2026-03-25,CASHBACK,CASH,70.0
2026-03-25,MENS HEALTH SUBSCRIPTION,DIRECT_DEBIT,24.5
2026-03-25,OUTGOING DD,DIRECT_DEBIT,10.0
2026-03-25,SAVE THE CHANGE,BILL_PAYMENT,0.41
2026-03-25,AMAZON PLC,PURCHASE,36.59
2026-03-25,SAVE THE CHANGE,BILL_PAYMENT,0.5
2026-03-25,WWW.BINGO.COM,PURCHASE,10.5
2026-03-23,MORSES CLUB LTD,PURCHASE,30.0
2026-03-23,ANYVAN LTD,CREDIT,32.5
2026-03-23,LNK ATM WITHDRAWAL,ATM,100.0
2026-03-23,SAVE THE CHANGE,BILL_PAYMENT,1.57
2026-03-23,WWW.METROBANK.COM,PURCHASE,20.0
2026-03-22,AMAZON INT'L,PURCHASE,5.0
2026-03-22,SAVE THE CHANGE,BILL_PAYMENT,0.01
2026-03-22,TESCO MOBILE LTD,PURCHASE,39.25
2026-03-22,PAYPAL WWW.EBAY.COM,PURCHASE,36.59
2026-03-22,OAKAM LIMITED,PURCHASE,36.59
2026-03-20,REGENDA REDWING,PURCHASE,150.0
2026-03-20,WORKING TAX CREDIT,CREDIT,22.42
2026-03-20,PARKRETAIL.CO.UK,PURCHASE,550.0
2026-03-20,CHILD TAX CREDIT,CREDIT,345.13
2026-03-19,AMAZON PRIME,PURCHASE,7.99
2026-03-19,CLEVELEYS.COM,CREDIT,1450.42
2026-03-18,CIRCLE UK TRADING,CREDIT,82.21
2026-03-17,MR JOHN SMITH,CREDIT,137.6
2026-03-17,AA INSURANCE,DIRECT_DEBIT,12.73
2026-03-17,AXA WEALTH LTD,DIRECT_DEBIT,40.0
2026-03-17,MORRISONS PETROL,PURCHASE,20.0
2026-03-17,SAVE THE CHANGE,BILL_PAYMENT,0.63
2026-03-17,TAILSCOM,PURCHASE,6.37
2026-03-15,ASDA STOES LTD,PURCHASE,32.0
2026-03-15,SAVE THE CHANGE,BILL_PAYMENT,0.55
2026-03-15,AMAZON BLACK FRIDAY,PURCHASE,15.45
2026-03-15,SAVE THE CHANGE,BILL_PAYMENT,0.5
2026-03-15,TESCO EXTRA,PURCHASE,3.59
2026-03-15,PAYPAL EBAY,PURCHASE,10.0
2026-03-14,PAYPAL BETFRED,PURCHASE,2.0
2026-03-14,MT SECURETRADE LIM,PURCHASE,20.5
2026-03-14,MT SECURETRADE LIM,PURCHASE,43.5
2026-03-12,SAVE THE CHANGE,BILL_PAYMENT,0.41
2026-03-12,AA MEMBERSHIP,DIRECT_DEBIT,23.11
2026-03-11,CIRCLE UK TRADING,CREDIT,50.0
2026-03-11,MS JANE DOE,TRANSFER,50.0
2026-03-11,WORKING TAX CREDIT,CREDIT,22.42
2026-03-11,BUTLINS HOLIDAYS,PURCHASE,17.0
2026-03-10,AXA WEALTH LTD,DIRECT_DEBIT,40.0
2026-03-10,ASDA STORES LTD,PURCHASE,5.0
2026-03-10,RETURNED DD,CREDIT,40.0
2026-03-10,CIRCLE UK TRADING,CREDIT,50.36
2026-03-10,OUTGOING DD,DIRECT_DEBIT,30.0
2026-03-10,EDF ENERGY,BILL_PAYMENT,24.5
2026-03-09,DVLA LICENCE,DIRECT_DEBIT,23.62
2026-03-09,DVLA TAX,DIRECT_DEBIT,20.56
2026-03-09,SAVE THE CHANGE,BILL_PAYMENT,0.41
2026-03-09,MS JANE DOE,TRANSFER,70.0
2026-03-08,SAVE THE CHANGE,BILL_PAYMENT,0.01
2026-03-08,WORKING TAX CREDIT,CREDIT,22.42
2026-03-08,CREDITREPORTSERVIC,PURCHASE,14.99
2026-03-08,REGENDA REDWING RE,PURCHASE,100.0
2026-03-08,BROADWAY GAMING LT CD 0315,PURCHASE,10.0
2026-03-08,SAVE THE CHANGE,BILL_PAYMENT,0.69
2026-03-08,SAVE THE CHANGE,BILL_PAYMENT,1.04
2026-03-08,BOOKER LIMITED BLA,PURCHASE,24.31
2026-03-07,EE & T-MOBILE,PURCHASE,82.37
2026-03-07,SAVE THE CHANGE,BILL_PAYMENT,1.15
2026-03-07,MS JANE DOE,TRANSFER,70.0
2026-03-07,18db38 Betropolis LTD LC Betropolis,PURCHASE,10.0
2026-03-06,TESCO MOBILE LTD,PURCHASE,28.25
2026-03-06,WORKING TAX CREDIT,CREDIT,22.42
2026-03-06,W M MORRISONS PLC,PURCHASE,12.89
2026-03-06,TESCO MOBILE LTD,PURCHASE,50.0
2026-03-06,HOME BARGAINS FLEE,PURCHASE,9.71
2026-03-06,CHILD TAX CREDIT,CREDIT,346.35
2026-03-06,MR JOHN SMITH,CREDIT,137.6
2026-03-06,MS JANE DOE,TRANSFER,61.89
2026-03-06,SAVE THE CHANGE,BILL_PAYMENT,0.01
2026-03-06,AMAZON PRIME,PURCHASE,5.0
2026-03-05,LNK ATM WITHDRAWAL,ATM,60.0
2026-03-05,SAVE THE CHANGE,BILL_PAYMENT,1.89
2026-03-05,THE INSURANCE EMPO,DIRECT_DEBIT,5.79
2026-03-05,AMAZON PRIME,PURCHASE,7.99
2026-03-05,VANQUIS BANK,PURCHASE,23.15
2026-03-05,AA INSURANCE,DIRECT_DEBIT,12.73
2026-03-05,WWW.TAILS.COM,PURCHASE,6.37
2026-03-05,ANNATAR,PURCHASE,20.0
2026-03-04,ANNATAR LIMITED,PURCHASE,10.0
2026-03-04,ANYVAN LTD,CREDIT,70.0
2026-03-04,ANYVAN LTD,CREDIT,59.17
2026-03-04,LNK ATM LONDON,ATM,20.0
2026-03-04,LAPTOP DIRECT LTD.,PURCHASE,5.0
2026-03-04,ANIMAL FRIENDS LTD,DIRECT_DEBIT,3.07
2026-03-04,LNK ATM WITHDRAWAL,ATM,100.0
2026-03-04,MR JOHN SMITH,TRANSFER,100.0
2026-03-04,INTUIT LIMITED,DIRECT_DEBIT,3.59
2026-03-04,PAYPAL EBAY,PURCHASE,25.0
2026-03-04,RENT,BILL_PAYMENT,130.0
2026-03-03,MS JANE DOE,TRANSFER,0.89
2026-03-03,SAVE THE CHANGE,BILL_PAYMENT,0.41
2026-03-03,MS JANE DOE,TRANSFER,130.0
2026-03-03,MR JOHN SMITH,TRANSFER,7.0
2026-03-03,AA MEMBERSHIP,DIRECT_DEBIT,23.11
2026-03-03,VIRGIN GAMES,PURCHASE,35.49
2026-03-03,SAVE THE CHANGE,BILL_PAYMENT,0.01
2026-03-03,GOOGLE PLAY STORE,PURCHASE,2.99
2026-03-03,TESCO EXTRA,PURCHASE,30.0
2026-03-03,RETURNED DIRECT DEBIT,CREDIT,40.0
2026-03-03,LNK ATM LONDON,ATM,40.0
2026-03-03,WWW.ASDA.COM,PURCHASE,5.0
2026-03-02,MR JOHN SMITH,TRANSFER,30.0
2026-03-02,LNK ATM LONDON,ATM,30.0
2026-03-02,MR JOHN SMITH,TRANSFER,10.0
2026-03-02,SAVE THE CHANGE,BILL_PAYMENT,0.59
2026-03-01,TALKTALK TELECOM,PURCHASE,46.82
2026-03-01,ACCOUNT OVERDRAFT FEE,BILL_PAYMENT,0.01
2026-03-01,MR JOHN SMITH,TRANSFER,227.0
2026-03-01,TESCO,PURCHASE,39.99
2026-03-01,REVOLUT,PURCHASE,0.01
2026-03-01,CENTRA,PURCHASE,0.01
2026-03-01,DUNNES STORES,PURCHASE,0.01
2026-03-01,SPAR,PURCHASE,0.01
2026-03-01,SPAR,PURCHASE,0.01
2026-03-01,SUPERVALUE,PURCHASE,0.01
2026-03-01,LIDL,PURCHASE,0.01
2026-03-01,APLLEGREEN,PURCHASE,0.01
2026-03-01,MCDONALD'S,PURCHASE,0.01
2026-03-01,HARVEY NORMAN,PURCHASE,0.01
2026-03-01,ULSTER BANK,PURCHASE,0.01
2026-03-01,CIRCLE K,PURCHASE,0.01
2026-03-01,BET365,PURCHASE,0.01
2026-03-01,ACCOUNT OVERDRAFT FEE,BILL_PAYMENT,0.01
2026-03-01,Sainsbury's,PURCHASE,23.99
2026-03-01,MR JOHN SMITH,TRANSFER,20.91
2026-03-01,NUDE FINANCE,PURCHASE,10.0
2026-03-01,E.ON NEXT,PURCHASE,10.0
2026-03-01,L&G INSURANCE,PURCHASE,10.0
2026-03-01,HALIFAX,PURCHASE,10.0
2026-03-01,OVO ENERGY,PURCHASE,10.0
2026-02-28,TSB CLEVELEYS,CASH,420.0
2026-02-28,AMAZON INT'L,PURCHASE,36.59
2026-02-28,RETURNED DD,CREDIT,40.0
2026-02-28,MR JOHN SMITH,TRANSFER,32.72
2026-02-28,WORKING TAX CREDIT,CREDIT,22.42
2026-02-27,MS JANE DOE,TRANSFER,7.93
2026-02-27,CIRCLE UK TRADING REFUND,CREDIT,50.59
2026-02-27,MS JANE DOE,TRANSFER,15.86
2026-02-27,DVLA LICENSE,DIRECT_DEBIT,20.56
2026-02-27,E&L INSURANCE,DIRECT_DEBIT,2.99
2026-02-27,TESCO ONLINE SHOPPING,DIRECT_DEBIT,23.62
2026-02-27,PAYPAL EBAY,PURCHASE,7.56
2026-02-25,CASHBACK,CASH,70.0
2026-02-25,MENS HEALTH SUBSCRIPTION,DIRECT_DEBIT,24.5
2026-02-25,OUTGOING DD,DIRECT_DEBIT,10.0
2026-02-25,SAVE THE CHANGE,BILL_PAYMENT,0.41
2026-02-25,AMAZON PLC,PURCHASE,36.59
2026-02-25,SAVE THE CHANGE,BILL_PAYMENT,0.5
2026-02-25,WWW.BINGO.COM,PURCHASE,10.5
2026-02-23,MORSES CLUB LTD,PURCHASE,30.0
2026-02-23,ANYVAN LTD,CREDIT,32.5
2026-02-23,LNK ATM WITHDRAWAL,ATM,100.0
2026-02-23,SAVE THE CHANGE,BILL_PAYMENT,1.57
2026-02-23,WWW.METROBANK.COM,PURCHASE,20.0
2026-02-22,AMAZON INT'L,PURCHASE,5.0
2026-02-22,SAVE THE CHANGE,BILL_PAYMENT,0.01
2026-02-22,TESCO MOBILE LTD,PURCHASE,39.25
2026-02-22,PAYPAL WWW.EBAY.COM,PURCHASE,36.59
2026-02-22,OAKAM LIMITED,PURCHASE,36.59
2026-02-20,REGENDA REDWING,PURCHASE,150.0
2026-02-20,WORKING TAX CREDIT,CREDIT,22.42
2026-02-20,PARKRETAIL.CO.UK,PURCHASE,550.0
2026-02-20,CHILD TAX CREDIT,CREDIT,345.13
2026-02-19,AMAZON PRIME,PURCHASE,7.99
2026-02-19,CLEVELEYS.COM,CREDIT,1450.42
2026-02-18,CIRCLE UK TRADING,CREDIT,82.21
2026-02-17,MR JOHN SMITH,CREDIT,137.6
2026-02-17,AA INSURANCE,DIRECT_DEBIT,12.73
2026-02-17,AXA WEALTH LTD,DIRECT_DEBIT,40.0
2026-02-17,MORRISONS PETROL,PURCHASE,20.0
2026-02-17,SAVE THE CHANGE,BILL_PAYMENT,0.63
2026-02-17,TAILSCOM,PURCHASE,6.37
2026-02-15,ASDA STOES LTD,PURCHASE,32.0
2026-02-15,SAVE THE CHANGE,BILL_PAYMENT,0.55
2026-02-15,AMAZON BLACK FRIDAY,PURCHASE,15.45
2026-02-15,SAVE THE CHANGE,BILL_PAYMENT,0.5
2026-02-15,TESCO EXTRA,PURCHASE,3.59
2026-02-15,PAYPAL EBAY,PURCHASE,10.0
2026-02-14,PAYPAL BETFRED,PURCHASE,2.0
2026-02-14,MT SECURETRADE LIM,PURCHASE,20.5
2026-02-14,MT SECURETRADE LIM,PURCHASE,43.5
2026-02-12,SAVE THE CHANGE,BILL_PAYMENT,0.41
2026-02-12,AA MEMBERSHIP,DIRECT_DEBIT,23.11
2026-02-11,CIRCLE UK TRADING,CREDIT,50.0
2026-02-11,MS JANE DOE,TRANSFER,50.0
2026-02-11,WORKING TAX CREDIT,CREDIT,22.42
2026-02-11,BUTLINS HOLIDAYS,PURCHASE,17.0
2026-02-10,AXA WEALTH LTD,DIRECT_DEBIT,40.0
2026-02-10,ASDA STORES LTD,PURCHASE,5.0
2026-02-10,RETURNED DD,CREDIT,40.0
2026-02-10,CIRCLE UK TRADING,CREDIT,50.36
2026-02-10,OUTGOING DD,DIRECT_DEBIT,30.0
2026-02-10,EDF ENERGY,BILL_PAYMENT,24.5
2026-02-09,DVLA LICENCE,DIRECT_DEBIT,23.62
2026-02-09,DVLA TAX,DIRECT_DEBIT,20.56
2026-02-09,SAVE THE CHANGE,BILL_PAYMENT,0.41
2026-02-09,MS JANE DOE,TRANSFER,70.0
2026-02-08,SAVE THE CHANGE,BILL_PAYMENT,0.01
2026-02-08,WORKING TAX CREDIT,CREDIT,22.42
2026-02-08,CREDITREPORTSERVIC,PURCHASE,14.99
2026-02-08,REGENDA REDWING RE,PURCHASE,100.0
2026-02-08,BROADWAY GAMING LT CD 0315,PURCHASE,10.0
2026-02-08,SAVE THE CHANGE,BILL_PAYMENT,0.69
2026-02-08,SAVE THE CHANGE,BILL_PAYMENT,1.04
2026-02-08,BOOKER LIMITED BLA,PURCHASE,24.31
2026-02-07,EE & T-MOBILE,PURCHASE,82.37
2026-02-07,SAVE THE CHANGE,BILL_PAYMENT,1.15
2026-02-07,MS JANE DOE,TRANSFER,70.0
2026-02-07,18db38 Betropolis LTD LC Betropolis,PURCHASE,10.0
2026-02-06,TESCO MOBILE LTD,PURCHASE,28.25
2026-02-06,WORKING TAX CREDIT,CREDIT,22.42
2026-02-06,W M MORRISONS PLC,PURCHASE,12.89
2026-02-06,TESCO MOBILE LTD,PURCHASE,50.0
2026-02-06,HOME BARGAINS FLEE,PURCHASE,9.71
2026-02-06,CHILD TAX CREDIT,CREDIT,346.35
2026-02-06,MR JOHN SMITH,CREDIT,137.6
2026-02-06,MS JANE DOE,TRANSFER,61.89
2026-02-06,SAVE THE CHANGE,BILL_PAYMENT,0.01
2026-02-06,AMAZON PRIME,PURCHASE,5.0
2026-02-05,LNK ATM WITHDRAWAL,ATM,60.0
2026-02-05,SAVE THE CHANGE,BILL_PAYMENT,1.89
2026-02-05,THE INSURANCE EMPO,DIRECT_DEBIT,5.79
2026-02-05,AMAZON PRIME,PURCHASE,7.99
2026-02-05,VANQUIS BANK,PURCHASE,23.15
2026-02-05,AA INSURANCE,DIRECT_DEBIT,12.73
2026-02-05,WWW.TAILS.COM,PURCHASE,6.37
2026-02-05,ANNATAR,PURCHASE,20.0
2026-02-04,ANNATAR LIMITED,PURCHASE,10.0
2026-02-04,ANYVAN LTD,CREDIT,70.0
2026-02-04,ANYVAN LTD,CREDIT,59.17
2026-02-04,LNK ATM LONDON,ATM,20.0
2026-02-04,LAPTOP DIRECT LTD.,PURCHASE,5.0
2026-02-04,ANIMAL FRIENDS LTD,DIRECT_DEBIT,3.07
2026-02-04,LNK ATM WITHDRAWAL,ATM,100.0
2026-02-04,MR JOHN SMITH,TRANSFER,100.0
2026-02-04,INTUIT LIMITED,DIRECT_DEBIT,3.59
2026-02-04,PAYPAL EBAY,PURCHASE,25.0
2026-02-04,RENT,BILL_PAYMENT,130.0
2026-02-03,MS JANE DOE,TRANSFER,0.89
2026-02-03,SAVE THE CHANGE,BILL_PAYMENT,0.41
2026-02-03,MS JANE DOE,TRANSFER,130.0
2026-02-03,MR JOHN SMITH,TRANSFER,7.0
2026-02-03,AA MEMBERSHIP,DIRECT_DEBIT,23.11
2026-02-03,VIRGIN GAMES,PURCHASE,35.49
2026-02-03,SAVE THE CHANGE,BILL_PAYMENT,0.01
2026-02-03,GOOGLE PLAY STORE,PURCHASE,2.99
2026-02-03,TESCO EXTRA,PURCHASE,30.0
2026-02-03,RETURNED DIRECT DEBIT,CREDIT,40.0
2026-02-03,LNK ATM LONDON,ATM,40.0
2026-02-03,WWW.ASDA.COM,PURCHASE,5.0
2026-02-02,MR JOHN SMITH,TRANSFER,30.0
2026-02-02,LNK ATM LONDON,ATM,30.0
2026-02-02,MR JOHN SMITH,TRANSFER,10.0
2026-02-02,SAVE THE CHANGE,BILL_PAYMENT,0.59
2026-02-01,TALKTALK TELECOM,PURCHASE,46.82
2026-02-01,ACCOUNT OVERDRAFT FEE,BILL_PAYMENT,0.01
2026-02-01,MR JOHN SMITH,TRANSFER,227.0
2026-02-01,TESCO,PURCHASE,39.99
2026-02-01,REVOLUT,PURCHASE,0.01
2026-02-01,CENTRA,PURCHASE,0.01
2026-02-01,DUNNES STORES,PURCHASE,0.01
2026-02-01,SPAR,PURCHASE,0.01
2026-02-01,SPAR,PURCHASE,0.01
2026-02-01,SUPERVALUE,PURCHASE,0.01
2026-02-01,LIDL,PURCHASE,0.01
2026-02-01,APLLEGREEN,PURCHASE,0.01
2026-02-01,MCDONALD'S,PURCHASE,0.01
2026-02-01,HARVEY NORMAN,PURCHASE,0.01
2026-02-01,ULSTER BANK,PURCHASE,0.01
2026-02-01,CIRCLE K,PURCHASE,0.01
2026-02-01,BET365,PURCHASE,0.01
2026-02-01,ACCOUNT OVERDRAFT FEE,BILL_PAYMENT,0.01
2026-02-01,Sainsbury's,PURCHASE,23.99
2026-02-01,MR JOHN SMITH,TRANSFER,20.91
2026-02-01,NUDE FINANCE,PURCHASE,10.0
2026-02-01,E.ON NEXT,PURCHASE,10.0
2026-02-01,L&G INSURANCE,PURCHASE,10.0
2026-02-01,HALIFAX,PURCHASE,10.0
2026-02-01,OVO ENERGY,PURCHASE,10.0
